brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,year_sold,price_per_sqft
11574.0,for_sale,583000.0,3.0,3.0,,1434890.0,San Diego,California,92139.0,1344.0,2017-01-20,2017.0,433.7797619047619
99563.0,for_sale,805000.0,4.0,3.0,0.16,1204367.0,San Diego,California,92113.0,6845.0,2019-11-20,2019.0,117.60409057706354
11574.0,for_sale,649000.0,4.0,3.0,0.03,379294.0,San Diego,California,92139.0,1555.0,2020-09-08,2020.0,417.363344051447
22611.0,for_sale,275000.0,1.0,1.0,10.92,457363.0,San Diego,California,92105.0,668.0,2004-03-01,2004.0,411.67664670658684
35003.0,for_sale,790000.0,5.0,2.0,0.13,1100471.0,San Diego,California,92154.0,1784.0,1977-01-21,1977.0,442.82511210762334
53016.0,for_sale,799000.0,4.0,3.0,0.14,1507367.0,San Diego,California,92114.0,1837.0,1986-07-18,1986.0,434.94828524768644
66439.0,for_sale,724900.0,3.0,2.0,,1828459.0,San Diego,California,92114.0,1240.0,2022-02-02,2022.0,584.5967741935484
84529.0,for_sale,539900.0,2.0,1.0,,836971.0,San Diego,California,92105.0,930.0,2006-10-02,2006.0,580.5376344086021
35346.0,for_sale,784900.0,4.0,2.0,,1738370.0,San Diego,California,92114.0,1292.0,1979-06-15,1979.0,607.5077399380805
16829.0,for_sale,1399000.0,4.0,2.0,0.16,1349948.0,San Diego,California,92115.0,1884.0,2017-11-14,2017.0,742.5690021231422
45389.0,for_sale,960000.0,3.0,2.0,0.24,1240301.0,San Diego,California,92115.0,1460.0,2010-04-13,2010.0,657.5342465753424
25730.0,for_sale,1198000.0,8.0,4.0,,1343179.0,San Diego,California,92115.0,2400.0,2021-12-06,2021.0,499.1666666666667
13449.0,for_sale,599000.0,3.0,2.0,0.91,1509260.0,San Diego,California,92154.0,1471.0,2018-10-16,2018.0,407.205982324949
16620.0,for_sale,849500.0,2.0,3.0,0.08,940879.0,San Diego,California,92105.0,1228.0,2019-01-17,2019.0,691.7752442996742
33731.0,for_sale,729900.0,3.0,2.0,0.23,720538.0,San Diego,California,92114.0,1772.0,2021-12-15,2021.0,411.9074492099323
53016.0,for_sale,774999.0,3.0,3.0,0.19,1747323.0,San Diego,California,92114.0,1431.0,1990-07-06,1990.0,541.5786163522013
11574.0,for_sale,699000.0,4.0,2.0,,1380845.0,San Diego,California,92114.0,1116.0,2022-01-19,2022.0,626.3440860215054
15408.0,for_sale,650000.0,2.0,1.0,,632028.0,San Diego,California,92105.0,888.0,1978-01-31,1978.0,731.981981981982
81408.0,for_sale,895000.0,3.0,2.0,0.15,288680.0,San Diego,California,92154.0,1739.0,2015-03-10,2015.0,514.6635997699827
2802.0,for_sale,850000.0,4.0,2.0,,1504910.0,San Diego,California,92114.0,1496.0,2021-03-18,2021.0,568.1818181818181
11574.0,for_sale,999000.0,2.0,2.0,0.18,1209269.0,San Diego,California,92102.0,1500.0,2022-02-17,2022.0,666.0
83166.0,for_sale,899000.0,5.0,2.0,0.12,1279298.0,San Diego,California,92115.0,1290.0,2011-04-29,2011.0,696.8992248062016
22611.0,for_sale,1700000.0,4.0,4.0,,1490096.0,San Diego,California,92115.0,2100.0,2016-08-02,2016.0,809.5238095238095
17335.0,for_sale,499900.0,2.0,2.0,,1124998.0,San Diego,California,92116.0,836.0,2012-03-13,2012.0,597.9665071770335
72610.0,for_sale,798000.0,5.0,3.0,0.14,1536002.0,San Diego,California,92114.0,2213.0,2007-01-25,2007.0,360.5964753727971
23089.0,for_sale,750000.0,4.0,2.0,0.15,738447.0,San Diego,California,92154.0,1406.0,1986-07-09,1986.0,533.4281650071124
82024.0,for_sale,1099000.0,3.0,2.0,0.18,1532457.0,San Diego,California,92120.0,1642.0,2002-07-23,2002.0,669.305724725944
23089.0,for_sale,359000.0,1.0,1.0,,1202568.0,San Diego,California,92105.0,576.0,2013-02-14,2013.0,623.2638888888889
16829.0,for_sale,1100000.0,4.0,2.0,0.17,1389710.0,San Diego,California,92115.0,1684.0,1997-03-20,1997.0,653.206650831354
109978.0,for_sale,2298295.0,8.0,6.0,0.15,1282118.0,San Diego,California,92115.0,3013.0,2019-10-04,2019.0,762.7928974444076
11574.0,for_sale,894999.0,4.0,3.0,0.15,1406013.0,San Diego,California,92154.0,2328.0,2019-10-02,2019.0,384.44974226804123
76766.0,for_sale,570000.0,3.0,2.0,,977788.0,San Diego,California,92114.0,964.0,1984-08-31,1984.0,591.2863070539419
84529.0,for_sale,775000.0,3.0,3.0,0.06,70695.0,San Diego,California,92154.0,1662.0,2017-10-27,2017.0,466.30565583634177
22611.0,for_sale,849000.0,2.0,1.0,0.09,1281901.0,San Diego,California,92115.0,1020.0,2005-03-30,2005.0,832.3529411764706
97293.0,for_sale,1450000.0,3.0,3.0,0.16,1434712.0,San Diego,California,92120.0,3250.0,1979-08-13,1979.0,446.15384615384613
109978.0,for_sale,380000.0,2.0,2.0,2.55,1038220.0,San Diego,California,92105.0,1048.0,2013-03-07,2013.0,362.59541984732823
23592.0,for_sale,499999.0,2.0,2.0,,411231.0,San Diego,California,92154.0,1053.0,2019-07-08,2019.0,474.8328584995252
53175.0,for_sale,625000.0,3.0,3.0,0.05,324970.0,San Diego,California,92139.0,1701.0,2019-09-30,2019.0,367.43092298647855
49090.0,for_sale,485000.0,2.0,3.0,,1131680.0,San Diego,California,92115.0,1041.0,2008-10-09,2008.0,465.8981748318924
35346.0,for_sale,500000.0,2.0,2.0,,1445704.0,San Diego,California,92115.0,1069.0,2011-06-29,2011.0,467.7268475210477
